competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
6127908,True,False,IND,BOS,IND @ BOS,NBA,2025-12-23 00:30:00+00:00,TD Garden
6129024,True,False,ORL,GSW,ORL @ GSW,NBA,2025-12-23 03:00:00+00:00,Chase Center
6129468,True,False,CHA,CLE,CHA @ CLE,NBA,2025-12-23 00:00:00+00:00,Quicken Loans Arena
6130890,True,False,UTA,DEN,UTA @ DEN,NBA,2025-12-23 02:00:00+00:00,Pepsi Center
6131304,True,False,DET,POR,DET @ POR,NBA,2025-12-23 03:00:00+00:00,Moda Center at the Rose Quarter
6131305,True,False,DET,POR,DET @ POR,NBA,2025-12-23 04:00:00+00:00,Moda Center at the Rose Quarter
6133662,True,False,DAL,NOP,DAL @ NOP,NBA,2025-12-23 01:00:00+00:00,New Orleans Arena
6134088,True,False,MEM,OKC,MEM @ OKC,NBA,2025-12-23 02:30:00+00:00,Chesapeake Energy Arena
