competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5955188,True,False,NOP,BOS,NOP @ BOS,NBA,2024-01-30 00:30:00+00:00,TD Garden
5956502,True,False,SAC,MEM,SAC @ MEM,NBA,2024-01-30 01:00:00+00:00,FedExForum
5956604,True,False,WAS,SAS,WAS @ SAS,NBA,2024-01-30 01:00:00+00:00,AT&T Center
5956640,True,False,MIL,DEN,MIL @ DEN,NBA,2024-01-30 02:00:00+00:00,Pepsi Center
5956922,True,False,UTA,BKN,UTA @ BKN,NBA,2024-01-30 00:30:00+00:00,Barclays Center
5957702,True,False,ORL,DAL,ORL @ DAL,NBA,2024-01-30 01:30:00+00:00,American Airlines Center
5957852,True,False,PHI,POR,PHI @ POR,NBA,2024-01-30 03:00:00+00:00,Moda Center at the Rose Quarter
5957853,True,False,PHI,POR,PHI @ POR,NBA,2024-01-30 04:00:00+00:00,Moda Center at the Rose Quarter
5957857,True,False,PHI,POR,PHI @ POR,NBA,2024-01-30 04:20:00+00:00,Moda Center at the Rose Quarter
5958638,True,False,NYK,CHA,NYK @ CHA,NBA,2024-01-30 00:00:00+00:00,Time Warner Cable Arena
5959688,True,False,MIN,OKC,MIN @ OKC,NBA,2024-01-30 01:00:00+00:00,Chesapeake Energy Arena
5960030,True,False,LAC,CLE,LAC @ CLE,NBA,2024-01-30 00:00:00+00:00,Quicken Loans Arena
5960450,True,False,PHX,MIA,PHX @ MIA,NBA,2024-01-30 00:30:00+00:00,AmericanAirlines Arena
5961782,True,False,LAL,HOU,LAL @ HOU,NBA,2024-01-30 01:00:00+00:00,Toyota Center
