competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
6043201,True,False,DAL,ATL,DAL @ ATL,NBA,2024-11-26 00:30:00+00:00,Philips Arena
6043423,True,False,LAC,BOS,LAC @ BOS,NBA,2024-11-26 00:30:00+00:00,TD Garden
6043891,True,False,ORL,CHA,ORL @ CHA,NBA,2024-11-26 00:00:00+00:00,Time Warner Cable Arena
6045253,True,False,NYK,DEN,NYK @ DEN,NBA,2024-11-26 02:00:00+00:00,Pepsi Center
6045607,True,False,TOR,DET,TOR @ DET,NBA,2024-11-26 00:00:00+00:00,Little Caesars Arena
6045673,True,False,POR,MEM,POR @ MEM,NBA,2024-11-26 01:00:00+00:00,FedExForum
6046117,True,False,BKN,GSW,BKN @ GSW,NBA,2024-11-26 03:00:00+00:00,Chase Center
6047023,True,False,OKC,SAC,OKC @ SAC,NBA,2024-11-26 03:00:00+00:00,Golden 1 Center
6047024,True,False,OKC,SAC,OKC @ SAC,NBA,2024-11-26 04:00:00+00:00,Golden 1 Center
6047131,True,False,NOP,IND,NOP @ IND,NBA,2024-11-26 00:00:00+00:00,Bankers Life Fieldhouse
