competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
6128364,True,False,ATL,BOS,ATL @ BOS,NBA,2026-03-27 23:30:00+00:00,TD Garden
6128922,True,False,NOP,TOR,NOP @ TOR,NBA,2026-03-28 00:30:00+00:00,Air Canada Centre
6129540,True,False,WAS,GSW,WAS @ GSW,NBA,2026-03-28 02:00:00+00:00,Chase Center
6129978,True,False,MIA,CLE,MIA @ CLE,NBA,2026-03-27 23:30:00+00:00,Quicken Loans Arena
6131310,True,False,UTA,DEN,UTA @ DEN,NBA,2026-03-28 01:00:00+00:00,Pepsi Center
6131568,True,False,DAL,POR,DAL @ POR,NBA,2026-03-28 02:00:00+00:00,Moda Center at the Rose Quarter
6132132,True,False,LAC,IND,LAC @ IND,NBA,2026-03-27 23:00:00+00:00,Bankers Life Fieldhouse
6132666,True,False,BKN,LAL,BKN @ LAL,NBA,2026-03-28 02:30:00+00:00,Staples Center
6132667,True,False,BKN,LAL,BKN @ LAL,NBA,2026-03-28 03:30:00+00:00,Staples Center
6133116,True,False,HOU,MEM,HOU @ MEM,NBA,2026-03-28 00:00:00+00:00,FedExForum
6134052,True,False,CHI,OKC,CHI @ OKC,NBA,2026-03-28 00:00:00+00:00,Chesapeake Energy Arena
