competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
6127518,True,False,NYK,WAS,NYK @ WAS,NBA,2026-02-04 00:00:00+00:00,Verizon Center
6128460,True,False,LAL,BKN,LAL @ BKN,NBA,2026-02-04 00:30:00+00:00,Barclays Center
6129264,True,False,PHI,GSW,PHI @ GSW,NBA,2026-02-04 03:00:00+00:00,Chase Center
6130266,True,False,BOS,DAL,BOS @ DAL,NBA,2026-02-04 01:00:00+00:00,American Airlines Center
6130566,True,False,DEN,DET,DEN @ DET,NBA,2026-02-04 00:00:00+00:00,Little Caesars Arena
6131466,True,False,PHX,POR,PHX @ POR,NBA,2026-02-04 04:00:00+00:00,Moda Center at the Rose Quarter
6131988,True,False,UTA,IND,UTA @ IND,NBA,2026-02-04 00:00:00+00:00,Bankers Life Fieldhouse
6132876,True,False,CHI,MIL,CHI @ MIL,NBA,2026-02-04 01:00:00+00:00,Fiserv Forum
6133254,True,False,ATL,MIA,ATL @ MIA,NBA,2026-02-04 00:30:00+00:00,AmericanAirlines Arena
6133956,True,False,ORL,OKC,ORL @ OKC,NBA,2026-02-04 01:00:00+00:00,Chesapeake Energy Arena
